"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 159006 0 4 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 852.92366 0 5 852.92366 5 0 0 2 0 2.5 0 1 2 1 36 14.28572 14.28572 9 2 6
2 159007 0 1 0 5995.8397 1 2 3 1 1 2 1 2 9 NA 0 1819 0 2 0 4 0 0 1 0 1 0 2626.1478 1 38 2626.1478 5 0 1 2 1 0.6666667 0 1 7 1 38 100 40 9 2 6
2 159007 0 2 1 3164.2932 1 3 3 1 1 NA 1 2 6 0 0 1819 0 2 0 4 0 0 1 0 1 0 2626.1478 0 37 2626.1478 5 0 1 2 1 0.6666667 0 1 7 1 38 100 40 9 2 6
2 159007 0 3 0 0 3 6 5 0 0 4 1 1 10 NA 0 1819 0 6 0 4 0 0 1 0 1 0 2626.1478 1 17 2626.1478 5 0 1 2 1 0.6666667 0 1 7 1 38 100 40 9 2 6
2 159007 0 4 0 0 4 7 6 0 0 5 1 1 8 NA 0 1819 0 6 0 4 0 0 1 0 1 0 2626.1478 0 14 2626.1478 5 0 1 2 1 0.6666667 0 1 7 1 38 100 40 9 2 6
2 159007 0 5 0 0 4 7 6 0 0 5 1 1 3 NA 0 1819 0 NA 0 4 0 0 1 0 1 0 2626.1478 1 9 2626.1478 5 0 1 2 1 0.6666667 0 1 7 1 38 100 40 9 2 6
2 159008 0 1 0 NA 3 6 5 0 0 4 0 2 2 NA 0 1819 0 2 0 4 1 1 1 0 1 0 236.43186 1 66 236.43186 5 1 1 2 1 1.5 0 1 6 1 66 40 40 2 3 3
2 159008 0 2 1 599.58397 1 3 3 1 1 NA 1 2 0 0 0 1819 1 2 0 4 1 1 1 0 1 0 236.43186 0 56 236.43186 5 1 1 2 1 1.5 0 1 6 1 66 40 40 2 3 3
2 159008 0 3 0 0 1 3 3 1 1 NA 0 2 9 0 0 1819 0 6 0 4 0 1 1 0 1 0 236.43186 0 25 236.43186 5 1 1 2 1 1.5 0 1 6 1 66 40 40 2 3 3
2 159008 0 4 0 0 4 7 6 0 0 5 1 1 4 NA 0 1819 0 NA 0 4 0 1 1 0 1 0 236.43186 0 10 236.43186 5 1 1 2 1 1.5 0 1 6 1 66 40 40 2 3 3
